SchoolID,Classroom.Shortage,Total.Total.Seat,Total.Seats.Shortage,Building Count_Condemned / For Demolition,Building Count_For Completion,Building Count_For Condemnation,Building Count_Good Condition,Building Count_Needs Major Repair,Building Count_Needs Minor Repair,Building Count_On-going Construction,Number of Rooms_Condemned / For Demolition,Number of Rooms_For Completion,Number of Rooms_For Condemnation,Number of Rooms_Good Condition,Number of Rooms_Needs Major Repair,Number of Rooms_Needs Minor Repair,Number of Rooms_On-going Construction,ALS-CLC_2024_Allocation,ELECTRIFICATION 2017,ELECTRIFICATION 2018,ELECTRIFICATION 2019,ELECTRIFICATION 2020,ELECTRIFICATION 2023,ELECTRIFICATION 2024,GABALDON 2020,GABALDON 2021,GABALDON 2022,GABALDON 2023,GABALDON 2024,SCHOOL HEALTH FACILITIES 2022,SCHOOL HEALTH FACILITIES 2024,LibHub 2024,LMS 2020,LMS 2021,LMS 2022,LMS 2023,LMS 2024,NC 2014,NC 2015,NC 2016,NC 2017,NC 2018,NC 2019,NC 2020,NC 2021,NC 2023,NC 2024,QRF 2019,QRF 2020,QRF 2021,QRF 2022,QRF 2022 REPLENISHMENT,QRF 2023,QRF 2024,REPAIR 2020,REPAIR 2021,REPAIR 2022,REPAIR 2023,REPAIR 2024,SPED-ILRC 2024,With_Buildable_space,Buildable_space Remarks,Site Ownership,Site Ownership Remarks,Geotechnical Testing,Geotechnical Testing Remarks,LMS.School,Lat,Long
134316,2,11,218,,,,,1,2,,,,,,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134318,0,96,34,,,,1,4,2,,,,,2,8,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,5.9891,120.9532
134319,2,881,0,,,,2,2,3,,,,,5,7,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134320,4,160,12,,,,,,3,,,,,,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134321,0,85,111,,,,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134322,8,117,24,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
134323,0,221,96,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
134325,6,444,0,,,1,,2,1,,,,1,,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
134327,7,,136,,,,,3,,,,,,,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134328,3,,76,,,,,,2,,,,,,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,0,0,,
134329,2,520,0,,,,1,2,,,,,,2,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,0,0,,
134330,7,160,0,1,,,,,,,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
134331,4,200,121,,,1,1,,2,,,,2,2,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
305029,0,394,0,,,,,4,,,,,,,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
305030,10,"2,297",0,3,,5,,7,,,3,,27,,26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,With title (TCT/OCT/Special Patent),0,0,0,0,,
305032,35,"1,709","1,520",,,1,,17,1,,,,1,,47,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,With title (TCT/OCT/Special Patent),0,0,0,0,,
318402,10,303,378,,,,,4,,,,,,,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
318403,15,250,"1,071",,,,,4,1,,,,,,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL,Deed of Donation,0,0,0,0,,
318410,7,460,298,,,,,4,2,,,,,,12,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,swamp soil,0,,
318413,3,241,5,,,,,1,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but needs CL demolition,Deed of Donation,0,0,0,0,,
318414,2,240,0,,,,,,1,,,,,,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,---,DOD on process,0,0,0,,
318415,4,80,166,,,,,,1,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
134332,13,736,22,,,,,2,3,,,,,,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,0,0,,
134333,4,,206,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
134334,7,43,416,,,,,5,,,,,,,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
134335,4,464,0,1,,,,2,1,,6,,,,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,needs CL demolition,Others,usufruct,0,swamp soil,0,,
134336,8,"3,250",0,,,4,1,6,1,,,,7,5,25,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 10 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
134337,6,"1,126",0,,,1,4,,2,,,,1,23,,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
134338,11,100,810,,1,,,6,4,,,1,,,15,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
217065,1,100,0,,,,,,2,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,,
305031,46,"1,655","1,144",,,,1,,10,,,,,1,,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 12 CL but need CL Demolition,Others,usufruct,0,swamp soil,0,,
305039,0,138,29,,,,3,,,,,,,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL,Deed of Donation,0,0,sandy soil,0,,
134341,3,,202,,,,,1,1,,,,,,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2 Storey 6 CL but need CL Demolition,Deed of Donation,0,0,swamp soil,0,,
