Region,Old Region,Division,SchoolID,School Name,District,Legislative District,Barangay,Modified COC,TotalEnrolment,Instructional.Rooms,Classroom.Requirement,Shifting,OwnershipType,ElectricitySource,WaterSource,Est.CS,SBPI,Lat,Long
CAR,CAR,Baguio City,305286,Pinget National High School,District I,Lone District,PINGET,JHS with SHS,524,17,16,Single Shift,With Adverse Claims,GRID SUPPLY,Piped line from Local Service Provider,1,2.325,,
CAR,CAR,Baguio City,136396,Pinget Elementary School,District III,Lone District,PINGET,Purely ES,768,19,23,Single Shift,PP,GRID SUPPLY,Without Water Supply Source,5,1.9,,
CAR,CAR,Baguio City,136398,Quirino Hill ES,District III,Lone District,"QUIRINO HILL, MIDDLE",Purely ES,440,13,14,Single Shift,Tax Dec,GRID SUPPLY,Without Water Supply Source,0,2.55,,
CAR,CAR,Baguio City,305280,Irisan National High School,District I,Lone District,IRISAN,JHS with SHS,1533,42,42,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,10,1.6,,
CAR,CAR,Baguio City,136388,Elpidio R. Quirino Elementary School,District I,Lone District,IRISAN,Purely ES,1475,42,43,Single Shift,For Verification,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,3,NA,,
CAR,CAR,Baguio City,305285,Pinsao National High School,District I,Lone District,PINSAO PILOT PROJECT,JHS with SHS,440,14,17,Single Shift,SP,GRID SUPPLY,Natural Resources,4,1.9,,
CAR,CAR,Baguio City,136397,Pinsao Elementary School,District III,Lone District,PINSAO PILOT PROJECT,Purely ES,594,27,21,Single Shift,PP,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Baguio City,136394,Lucban Elementary school,District III,Lone District,NEW LUCBAN,Purely ES,2438,76,74,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,221504,Brookspoint Elementary School,District III,Lone District,BROOKSPOINT,Purely ES,186,6,7,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,1,2.025,,
CAR,CAR,Baguio City,136400,Dona Aurora Elementary School,District III,Lone District,"AURORA HILL, SOUTH CENTRAL",Purely ES,1104,39,37,Single Shift,Tax Dec,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,2.4,,
CAR,CAR,Baguio City,305270,Dona Aurora National High School,District I,Lone District,AURORA HILL PROPER (MALVAR-SGT. FLORESCA,JHS with SHS,614,24,19,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,1,2.125,,
CAR,CAR,Baguio City,136392,Alfonso Tabora ES,District III,Lone District,NEW LUCBAN,Purely ES,277,6,11,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,1,2.275,,
CAR,CAR,Baguio City,305283,Magsaysay National High School,District I,Lone District,NEW LUCBAN,JHS with SHS,844,24,24,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,7,1.775,,
CAR,CAR,Baguio City,136395,Magsaysay Elementary School,District III,Lone District,NEW LUCBAN,Purely ES,404,22,15,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136401,Doña Nicasia Puyat ES,District III,Lone District,"MODERN SITE, EAST",Purely ES,387,15,14,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136399,Don Mariano Marcos Elementary School,District III,Lone District,BROOKSIDE,Purely ES,271,15,10,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2,,
CAR,CAR,Baguio City,305282,Guisad Valley National High School,District III,Lone District,CRESENCIA VILLAGE,JHS with SHS,1928,49,53,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,18,1.9,,
CAR,CAR,Baguio City,136393,Bonifacio Elementary school,District III,Lone District,CRESENCIA VILLAGE,Purely ES,889,31,29,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,136402,Gibraltar Elementary School,District II,Lone District,GIBRALTAR,Purely ES,474,15,17,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,1,2.475,,
CAR,CAR,Baguio City,221507,Holy Ghost Extension ES,District III,Lone District,HOLY GHOST EXTENSION,Purely ES,246,6,9,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,5,NA,,
CAR,CAR,Baguio City,305276,Rizal National High School,District I,Lone District,GIBRALTAR,JHS with SHS,1135,21,33,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,18,2.1,,
CAR,CAR,Baguio City,136404,Rizal Elementary School,District II,Lone District,GIBRALTAR,Purely ES,1557,22,48,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,11,1.75,,
CAR,CAR,Baguio City,340055,Baguio City National Science High School,District I,1st District,IRISAN,JHS with SHS,1771,65,48,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,221506,Fairview Elementary School,District I,Lone District,FAIRVIEW  VILLAGE,Purely ES,295,5,12,Single Shift,For Verification,GRID SUPPLY,Natural Resources,7,NA,,
CAR,CAR,Baguio City,136387,Quezon Hill Elementary School,District I,Lone District,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HI,Purely ES,1470,42,46,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,1,2.375,,
CAR,CAR,Baguio City,305287,Quezon Hill National High School,District I,Lone District,QUEZON HILL PROPER,JHS with SHS,890,21,25,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,4,NA,,
CAR,CAR,Baguio City,136389,San Carlos Heights Elementary School,District I,Lone District,IRISAN,Purely ES,714,17,24,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,6,1.875,,
CAR,CAR,Baguio City,136385,Josefa Cariño Elementary School,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),Purely ES,1235,42,40,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,305281,Pines City National High School,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),JHS with SHS,2783,73,70,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,4,1.95,,
CAR,CAR,Baguio City,136382,Baguio Central school,District I,Lone District,PALMA-URBANO (CARIÑO-PALMA),Purely ES,2989,84,95,Double Shift,Tax Dec,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,14,1.575,,
CAR,CAR,Baguio City,221505,Irisan Elementary School,District I,Lone District,IRISAN,Purely ES,468,8,16,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,8,1.975,,
CAR,CAR,Baguio City,136403,Apolinario Mabini ES,District III,Lone District,SALUD MITRA,Purely ES,1688,55,51,Single Shift,TCT / OCT,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,1,2.025,,
CAR,CAR,Baguio City,305269,Baguio City High School,District I,Lone District,LEGARDA-BURNHAM-KISAD,JHS with SHS,6936,205,184,Single Shift,PP,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,32,1.425,,
CAR,CAR,Baguio City,136383,Dominican-Mirador Elementary School,District I,Lone District,DOMINICAN HILL-MIRADOR,Purely ES,470,13,16,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,3,NA,,
CAR,CAR,Baguio City,136390,San Luis Elementary School,District I,Lone District,SAN LUIS VILLAGE,Purely ES,478,8,15,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,9,NA,,
CAR,CAR,Baguio City,305284,Joaquin Smith National High School,District I,Lone District,ASIN ROAD,JHS with SHS,838,30,26,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,2,2.025,,
CAR,CAR,Baguio City,319302,Dominican-Mirador National High School,District I,Lone District,DOMINICAN HILL-MIRADOR,Purely JHS,245,6,7,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,2,NA,,
CAR,CAR,Baguio City,136412,Lindawan Elementary School,District I,Lone District,LUCNAB,Purely ES,301,10,11,Single Shift,SP,GRID SUPPLY,Natural Resources,2,2.325,,
CAR,CAR,Baguio City,305274,Lindawan National High School,District I,Lone District,LUCNAB,JHS with SHS,182,6,7,Single Shift,SP,GRID SUPPLY,Natural Resources,2,2.325,,
CAR,CAR,Baguio City,305279,Sto. Tomas National High School,District I,Lone District,SANTO TOMAS SCHOOL AREA,JHS with SHS,711,33,20,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,136414,Manuel L. Quezon Elementary School,District II,Lone District,MILITARY CUT-OFF,Purely ES,583,36,20,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136386,Pacday Quinio Elementary School,District I,Lone District,ASIN ROAD,Purely ES,885,24,29,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,5,2.1,,
CAR,CAR,Baguio City,136417,SPED Center (FL),District II,Lone District,MILITARY CUT-OFF,Purely ES,573,43,35,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,136410,Happy Hollow Elementary School,District II,Lone District,HAPPY HOLLOW,Purely ES,182,10,7,Single Shift,With Adverse Claims,GRID SUPPLY,Natural Resources,1,2.375,,
CAR,CAR,Baguio City,136415,Manuel A. Roxas Elementary School,District II,Lone District,SANTO ROSARIO,Purely ES,912,20,31,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,1,2.175,,
CAR,CAR,Baguio City,305277,Roxas National High School,District I,Lone District,IMELDA R. MARCOS (LA SALLE),JHS with SHS,524,17,19,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,7,NA,,
CAR,CAR,Baguio City,502853,CRYSTAL CAVE INTEGRATED SCHOOL,District II,Lone District,BAKAKENG CENTRAL,ES and JHS (K to 10),583,#N/A,#N/A,For Verification,For Verification,For Verification,For Verification,#N/A,NA,,
CAR,CAR,Baguio City,305273,Happy Hollow National High School,District I,Lone District,HAPPY HOLLOW,JHS with SHS,173,8,6,Single Shift,For Verification,GRID SUPPLY,Natural Resources,1,NA,,
CAR,CAR,Baguio City,221502,Baguio Country Club Village Elementary School,District II,Lone District,COUNTRY CLUB VILLAGE,Purely ES,210,7,7,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,0,2.6,,
CAR,CAR,Baguio City,319304,Hillside National High School,District I,Lone District,HILLSIDE,Purely JHS,218,9,8,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,1,NA,,
CAR,CAR,Baguio City,136408,Dona Aurora H. Bueno Elementary School,District II,Lone District,CAMP 8,Purely ES,533,17,18,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,2,2.125,,
CAR,CAR,Baguio City,136381,Aguinaldo Elementary School,District I,Lone District,GENERAL EMILIO F. AGUINALDO (QUIRINO-MAG,Purely ES,856,26,28,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,136416,San Vicente Elementary School,District II,Lone District,SAN VICENTE,Purely ES,823,29,27,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Baguio City,136411,Jose P. Laurel Elementary School,District II,Lone District,"DAGSIAN, UPPER",Purely ES,336,17,13,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2.4,,
CAR,CAR,Baguio City,305278,San Vicente National High School (Integrated Senior High School),District I,Lone District,SAN VICENTE,JHS with SHS,666,31,21,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,136405,Bakakeng Elementary School,District II,Lone District,BAKAKENG NORTH,Purely ES,746,16,24,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,8,2.025,,
CAR,CAR,Baguio City,305271,Bakakeng National High School,District I,Lone District,BAKAKENG NORTH,Purely JHS,339,11,11,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Baguio City,136384,Dontogan Elementary School,District I,Lone District,DONTOGAN,Purely ES,815,25,26,Single Shift,Usufruct Agreement,GRID SUPPLY,Piped line from Local Service Provider,2,2.225,,
CAR,CAR,Baguio City,221503,Springhills Elementary School,District II,Lone District,APUGAN-LOAKAN,Purely ES,265,7,10,Single Shift,SP,GRID SUPPLY,Natural Resources,2,2.075,,
CAR,CAR,Baguio City,136380,Adiwang Elementary School,District I,Lone District,SANTO TOMAS PROPER,Purely ES,300,11,11,Single Shift,PP,GRID SUPPLY,Piped line from Local Service Provider,0,2.1,,
CAR,CAR,Baguio City,136406,Camp 7 Elementary School,District II,Lone District,CAMP 7,Purely ES,521,10,17,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,8,NA,,
CAR,CAR,Baguio City,136413,Loakan Elementary School,District II,Lone District,LOAKAN PROPER,Purely ES,1151,33,35,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,2,2.025,,
CAR,CAR,Baguio City,305275,Mil-an National High School,District I,Lone District,LOAKAN PROPER,JHS with SHS,1549,36,45,Single Shift,DOD,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,7,1.775,,
CAR,CAR,Baguio City,305272,Fort del Pilar National High School,District I,Lone District,FORT DEL PILAR,JHS with SHS,818,11,25,Single Shift,Tax Dec,OFF-GRID SUPPLY,Piped line from Local Service Provider,13,1.85,,
CAR,CAR,Baguio City,136409,Fort del Pilar Elementary School,District II,Lone District,FORT DEL PILAR,Purely ES,1203,38,36,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Baguio City,221501,Kias Elementary School,District II,Lone District,KIAS,Purely ES,670,9,23,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,12,1.8,,
CAR,CAR,Baguio City,136391,Sto. Tomas Elementary School,District I,Lone District,SANTO TOMAS SCHOOL AREA,Purely ES,326,15,12,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Tabuk City,220525,Burayukan Elementary School,Nothern  Tabuk District II,Lone District,BALONG,Purely ES,99,3,6,Single Shift,SP,GRID & OFF-GRID SUPPLY,Natural Resources,4,1.7,,
CAR,CAR,Tabuk City,136175,Masablang Elementary School,Western Tabuk District I,Lone District,MASABLANG,Purely ES,168,7,7,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Tabuk City,136003,Cabaruan Elementary School,Nothern  Tabuk District II,Lone District,CABARUAN,Purely ES,237,8,9,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Tabuk City,319108,Balong National High School,Nothern  Tabuk District II,Lone District,BALONG,JHS with SHS,276,8,8,Single Shift,SP,GRID SUPPLY,Natural Resources,3,1.95,,
CAR,CAR,Tabuk City,136001,Balong Central School,Nothern  Tabuk District II,Lone District,BALONG,Purely ES,314,9,11,Single Shift,SP,GRID SUPPLY,Without Water Supply Source,3,2.25,,
CAR,CAR,Tabuk City,136170,Lanna Elementary School,Western Tabuk District I,Lone District,LANNA,Purely ES,227,7,8,Single Shift,SP,GRID SUPPLY,Natural Resources,0,2.25,,
CAR,CAR,Tabuk City,220521,Pantar  Elementary School,Nothern  Tabuk District II,Lone District,LAYA WEST,Purely ES,110,6,7,Single Shift,For Verification,GRID SUPPLY,Natural Resources,2,NA,,
CAR,CAR,Tabuk City,136183,Western Tabuk CS,Western Tabuk District I,Lone District,TUGA,Purely ES,263,7,8,Single Shift,PP,GRID SUPPLY,Natural Resources,3,2.25,,
CAR,CAR,Tabuk City,502123,Guilayon Integrated School,Western Tabuk District II,Lone District,GUILAYON,ES and JHS (K to 10),180,5,10,Single Shift,For Verification,GRID SUPPLY,Natural Resources,3,NA,,
CAR,CAR,Tabuk City,305226,TUGA NATIONAL HIGH SCHOOL,Western Tabuk District I,Lone District,TUGA,JHS with SHS,391,24,13,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Tabuk City,136008,Laya West Elementary School,Nothern  Tabuk District II,Lone District,LAYA WEST,Purely ES,144,7,7,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,1,2.325,,
CAR,CAR,Tabuk City,136011,San Julian Elementary School,Nothern  Tabuk District II,Lone District,SAN JULIAN,Purely ES,193,7,7,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,2,2.125,,
CAR,CAR,Tabuk City,502132,Laya Integrated School,Nothern  Tabuk District II,Lone District,LAYA EAST,ES and JHS (K to 10),359,28,13,Single Shift,For Verification,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Tabuk City,136163,Cabaritan Elementary School,Western Tabuk District I,Lone District,CABARITAN,Purely ES,179,5,7,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,2,2.325,,
CAR,CAR,Tabuk City,501889,Toppan Integrated School,Western Tabuk District I,Lone District,GOBGOB,ES and JHS (K to 10),178,5,10,Single Shift,For Verification,GRID SUPPLY,Natural Resources,4,NA,,
CAR,CAR,Tabuk City,137049,Callagan Elementary School,Western Tabuk District II,Lone District,GUILAYON,Purely ES,27,2,4,Single Shift,For Verification,GRID SUPPLY,Natural Resources,4,NA,,
CAR,CAR,Tabuk City,220510,Gradual Discovery ES,Nothern  Tabuk District II,Lone District,DILAG,Purely ES,91,5,5,Single Shift,For Verification,GRID SUPPLY,Natural Resources,0,NA,,
CAR,CAR,Tabuk City,136012,Tabuk City Central School,Nothern  Tabuk District I,Lone District,DAGUPAN WESTE,Purely ES,1286,14,39,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,24,1.175,,
CAR,CAR,Tabuk City,500531,Dilag Integrated School,Nothern  Tabuk District II,Lone District,DILAG,All Offering (K to 12),592,4,22,Single Shift,For Verification,GRID SUPPLY,Natural Resources,12,NA,,
CAR,CAR,Tabuk City,136004,Casigayan Elementary School,Nothern  Tabuk District I,Lone District,CASIGAYAN,Purely ES,349,5,12,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2,,
CAR,CAR,Tabuk City,305221,Tabuk City National High School,Nothern  Tabuk District I,Lone District,DAGUPAN WESTE,JHS with SHS,3878,126,101,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,0,2.25,,
CAR,CAR,Tabuk City,136182,Tangbay Elementary School,Western Tabuk District I,Lone District,GOBGOB,Purely ES,59,3,4,Single Shift,DOD,GRID SUPPLY,Natural Resources,4,1.8,,
CAR,CAR,Tabuk City,136168,Gobgob Elementary School,Western Tabuk District I,Lone District,GOBGOB,Purely ES,146,7,7,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,7,1.975,,
CAR,CAR,Tabuk City,136002,Bayabat Elementary School,Nothern  Tabuk District II,Lone District,DILAG,Purely ES,122,5,6,Single Shift,For Verification,GRID SUPPLY,Natural Resources,3,NA,,
CAR,CAR,Tabuk City,136099,Camp Conrado M. Balweg Elementary School,Eastern Tabuk District I,Lone District,NAMBARAN,Purely ES,56,5,4,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Tabuk City,136009,Magsaysay Elementary School,Nothern  Tabuk District I,Lone District,MAGSAYSAY,Purely ES,433,14,15,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,8,1.725,,
CAR,CAR,Tabuk City,136177,New Tanglag Elementary School,Western Tabuk District I,Lone District,NEW TANGLAG,Purely ES,176,10,7,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Tabuk City,305222,New Tanglag National High School,Western Tabuk District I,Lone District,NEW TANGLAG,JHS with SHS,245,9,10,Single Shift,For Verification,GRID SUPPLY,Natural Resources,0,NA,,
CAR,CAR,Tabuk City,220501,PA-O ELEMENTARY SCHOOL,Western Tabuk District II,Lone District,NAMBUCAYAN,Purely ES,117,5,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,1,2.425,,
CAR,CAR,Tabuk City,502380,Appas Integrated School,Nothern  Tabuk District I,Lone District,APPAS,ES and JHS (K to 10),408,21,13,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,6,NA,,
CAR,CAR,Tabuk City,305212,Nambaran Agro-Industrial National High School,Eastern Tabuk District I,Lone District,NAMBARAN,JHS with SHS,285,22,10,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,0,2.1,,
CAR,CAR,Tabuk City,136107,Nambaran Elementary School,Eastern Tabuk District I,Lone District,NAMBARAN,Purely ES,465,18,15,Single Shift,SP,GRID SUPPLY,Natural Resources,0,2.25,,
CAR,CAR,Tabuk City,136165,Tuliao Elementary School,Western Tabuk District I,Lone District,CALANAN,Purely ES,69,5,4,Single Shift,SP,GRID SUPPLY,Natural Resources,0,2.05,,
CAR,CAR,Tabuk City,136184,Nambucayan Elementary School,Western Tabuk District II,Lone District,NAMBUCAYAN,Purely ES,107,4,6,Single Shift,DOD,GRID SUPPLY,Natural Resources,2,2.425,,
CAR,CAR,Tabuk City,502483,Ipil Integrated School,Eastern Tabuk District I,Lone District,IPIL,ES and JHS (K to 10),248,16,9,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,#N/A,NA,,
CAR,CAR,Tabuk City,220515,Basao Isla Elementary School,Nothern  Tabuk District I,Lone District,SAN JUAN,Purely ES,129,8,7,Single Shift,DOS,GRID SUPPLY,Natural Resources,0,2.15,,
CAR,CAR,Tabuk City,136173,Magnao Elementary School,Western Tabuk District II,Lone District,MAGNAO,Purely ES,166,4,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Tabuk City,136010,San Juan Elementary School,Nothern  Tabuk District I,Lone District,SAN JUAN,Purely ES,160,6,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,1,2.375,,
CAR,CAR,Tabuk City,220523,Cataw Primary School,Eastern Tabuk District II,Lone District,LACNOG,Purely ES,32,2,4,Single Shift,With Adverse Claims,GRID SUPPLY,Natural Resources,2,2.575,,
CAR,CAR,Tabuk City,136090,Bulanao West Elementary School,Southern Tabuk District I,Lone District,BULANAO,Purely ES,138,7,7,Single Shift,TCT / OCT,GRID SUPPLY,Piped line from Local Service Provider,0,2.4,,
CAR,CAR,Tabuk City,220532,Kalinga Special Education Center,Eastern Tabuk District I,Lone District,BULANAO NORTE,Purely ES,0,8,5,Single Shift,For Verification,GRID SUPPLY,Piped line from Local Service Provider,0,NA,,
CAR,CAR,Tabuk City,136086,Bulanao Central School,Eastern Tabuk District I,Lone District,BULANAO NORTE,Purely ES,2023,30,60,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,2,2.325,,
CAR,CAR,Tabuk City,136108,Namnama Elementary School,Southern Tabuk District I,Lone District,BULANAO,Purely ES,172,7,7,Single Shift,PP,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Tabuk City,136106,Matucnang Elementary School,Eastern Tabuk District I,Lone District,IPIL,Purely ES,48,4,4,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Tabuk City,136159,Banagan Elementary School,Western Tabuk District II,Lone District,BAGUMBAYAN,Purely ES,22,2,4,Single Shift,Tax Dec,GRID SUPPLY,Piped line from Local Service Provider,2,2.025,,
CAR,CAR,Tabuk City,501890,MALEDDA INTEGRATED SCHOOL,Eastern Tabuk District I,Lone District,IPIL,ES and JHS (K to 10),210,16,12,Single Shift,For Verification,GRID & OFF-GRID SUPPLY,Without Water Supply Source,2,NA,,
CAR,CAR,Tabuk City,305207,Nambucayan National High School,Western Tabuk District II,Lone District,NAMBUCAYAN,Purely JHS,77,8,4,Single Shift,DOD,GRID & OFF-GRID SUPPLY,Piped line from Local Service Provider,0,2.1,,
CAR,CAR,Tabuk City,136162,Bullaguian Elementary School,Western Tabuk District II,Lone District,DUPAG,Purely ES,44,3,4,Single Shift,SP,GRID SUPPLY,Without Water Supply Source,1,2.225,,
CAR,CAR,Tabuk City,220502,Gawidan Elementary School,Western Tabuk District II,Lone District,BAGUMBAYAN,Purely ES,92,2,7,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,2,1.975,,
CAR,CAR,Tabuk City,305206,Naneng National High School,Western Tabuk District II,Lone District,NANENG,Purely JHS,94,5,4,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Tabuk City,136109,New Balbalan ES,Eastern Tabuk District II,Lone District,LACNOG,Purely ES,87,7,5,Single Shift,DOD,GRID SUPPLY,Piped line from Local Service Provider,0,2.3,,
CAR,CAR,Tabuk City,136166,Dupag Elementary School,Western Tabuk District II,Lone District,DUPAG,Purely ES,34,2,4,Single Shift,DOD,GRID SUPPLY,Natural Resources,1,2.175,,
CAR,CAR,Tabuk City,502178,Southern Tabuk Integrated School,Southern Tabuk District I,Lone District,BULANAO,ES and JHS (K to 10),730,9,25,Single Shift,For Verification,GRID SUPPLY,Natural Resources,14,NA,,
CAR,CAR,Tabuk City,136164,Calanan Elementary School,Western Tabuk District I,Lone District,CALANAN,Purely ES,170,9,7,Single Shift,SP,GRID SUPPLY,Natural Resources,0,2.25,,
CAR,CAR,Tabuk City,136087,Bulanao East ES,Southern Tabuk District I,Lone District,BULANAO,Purely ES,449,13,16,Single Shift,SP,GRID SUPPLY,Natural Resources,3,2.15,,
CAR,CAR,Tabuk City,136155,Bado Dangwa Central School,Western Tabuk District II,Lone District,BADO DANGWA,Purely ES,293,12,11,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,1,2.325,,
CAR,CAR,Tabuk City,305205,Kalinga National High School,Southern Tabuk District I,Lone District,BULANAO,JHS with SHS,2239,53,65,Single Shift,SP,NO ELECTRICITY SUPPLY,Natural Resources,10,1.7,,
CAR,CAR,Tabuk City,136176,Naneng Elementary School,Western Tabuk District II,Lone District,NANENG,Purely ES,93,6,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.55,,
CAR,CAR,Tabuk City,136179,Pinagan ES,Western Tabuk District II,Lone District,LUCOG,Purely ES,133,7,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.35,,
CAR,CAR,Tabuk City,136171,Lucog Elementary School,Western Tabuk District II,Lone District,LUCOG,Purely ES,66,4,4,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.15,,
CAR,CAR,Tabuk City,136160,Bantay Elementary School,Western Tabuk District II,Lone District,BANTAY,Purely ES,205,8,8,Single Shift,Tax Dec,GRID SUPPLY,Natural Resources,0,2.25,,
CAR,CAR,Tabuk City,305926,Bantay National High School,Western Tabuk District II,Lone District,BANTAY,Purely JHS,118,4,4,Single Shift,For Verification,GRID SUPPLY,Natural Resources,0,NA,,
CAR,CAR,Tabuk City,319104,Bado Dangwa National High School,Western Tabuk District I,Lone District,BADO DANGWA,JHS with SHS,313,21,12,Single Shift,For Verification,GRID SUPPLY,Natural Resources,0,NA,,
CAR,CAR,Tabuk City,136167,Gaogao Elementary School,Western Tabuk District II,Lone District,DUPAG,Purely ES,62,6,4,Single Shift,SP,GRID SUPPLY,Piped line from Local Service Provider,0,2.2,,
CAR,CAR,Tabuk City,220520,Madapdappig  Elementary School,Western Tabuk District I,Lone District,BADO DANGWA,Purely ES,124,6,7,Single Shift,TCT / OCT,GRID SUPPLY,Natural Resources,1,2.125,,
CAR,CAR,Tabuk City,136112,Tannubong Elementary School,Eastern Tabuk District I,Lone District,IPIL,Purely ES,119,9,7,Single Shift,DOD,GRID SUPPLY,Natural Resources,0,2.35,,
